id;videojuego;modelo;categoria_patron;descripcion;ubicacion_ui;frecuencia_sesion;retorica_color;retorica_tamano;sesgo_psicologico;ref_captura;marca_tiempo;clicks;alerta_sonora
FN_018;Fortnite;F2P;Reward_Manipulation;En partida, sale un cartel anunciando que has completado una mision y te dan muchos puntos de experiencia;En_partida;3;Verde;Pequeno;Refuerzo_Intermitente;CFN_14;0:16:02;;True
FN_019;Fortnite;F2P;Reward_Manipulation;En partida, semuestra como subimos de nivel con un aviso;En_partida;2;Violeta;Pequeno;Refuerzo_Intermitente;CFN_15;0:16:19;;True
FN_020;Fortnite;F2P;Reward_Manipulation;En partida, el numero de veces que te sale una notificacion de que has ganado experiencia por casi cualquier cosa (abrir cofres, sobrevivir, eliminaciones) del 16:19 al 31:07;En_partida;14;Amarillo;Pequeno;Refuerzo_Intermitente;CFN_16;0:16:19;;True
FN_021;Fortnite;F2P;Near_Miss;En partida, completamos una mision del juego y nos sale el progreso de esta;En_partida;1;Amarillo;Pequeno;Efecto_Zeigarnik;CFN_17;0:17:14;;True
FN_022;Fortnite;F2P;Reward_Manipulation;En partida, infligimos un cierto numero de dano y recibimos experiencia por ello;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CFN_18;0:20:11;;True
FN_023;Fortnite;F2P;Near_Miss;En partida, vemos como progresamos en una mision del pase de batalla;En_partida;1;Amarillo;Pequeno;Efecto_Zeigarnik;CFN_19;0:20:14;;True
FN_024;Fortnite;F2P;Near_Miss;En partida, vemos como nos dan mucha experiencia y como progresa nuestra barra de nivel del pase de batalla;En_partida;1;Violeta;Pequeno;Efecto_Zeigarnik;CFN_20;0:20:21;;True
FN_025;Fortnite;F2P;Reward_Manipulation;En partida, recibimos experiencia y subimos de nivel en el pase de batalla;En_partida;1;Violeta;Pequeno;Refuerzo_Intermitente;CFN_21;0:21:21;;True
FN_026;Fortnite;F2P;Near_Miss;En partida, vemos como progresamos en una mision del pase de batalla;En_partida;1;Violeta;Pequeno;Efecto_Zeigarnik;CFN_22;0:21:40;;True
FN_027;Fortnite;F2P;Near_Miss;En partida, vemos como progresamos en una mision del pase de batalla;En_partida;1;Amarillo;Pequeno;Efecto_Zeigarnik;CFN_23;0:22:19;;True
FN_028;Fortnite;F2P;Near_Miss;En partida, vemos como nos dan mucha experiencia y como progresa nuestra barra de nivel del pase de batalla;En_partida;1;Violeta;Pequeno;Efecto_Zeigarnik;CFN_24;0:22:21;;True
FN_029;Fortnite;F2P;Reward_Manipulation;En partida, nos dan experiencia por entrar en el Top 10 supervivientes;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CFN_25;0:24:01;;True
FN_030;Fortnite;F2P;Preselection;En partida, al finalizar esta, se nos muestra en grande el nivel del pase de batalla y todas las recompensas que hemos obtenido y, hay por obtener. Destaca por encima de todo, un boton muy grande en amarillo que pone Jugar de nuevo;En_partida;1;Amarillo;Grande;Sesgo_Status_Quo;CFN_26;0:31:07;;True
FN_031;Fortnite;F2P;Social_Proof;Al inciacir una nueva partida, tenemos 50 segundos de espera en un Lobby donde los jugadores pueden hacer bailes y exibir sus skins. Funciona como una pasarela de moda para demostrar que has comprado una skin de temporada o valiosa;En_partida;1;No;No;Efecto_Arrastre_(Bandwagon);CFN_27;0:32:04;;True
FN_032;Fortnite;F2P;Reward_Manipulation;En partida, el numero de veces que te sale una notificacion de que has ganado experiencia por casi cualquier cosa (abrir cofres, sobrevivir, eliminaciones) del 33:12 al 39:22;En_partida;7;Amarillo;Pequeno;Refuerzo_Intermitente;CFN_28;0:33:05;;True
FN_033;Fortnite;F2P;Near_Miss;En partida, vemos como progresamos en una mision del pase de batalla;En_partida;1;Violeta;Pequeno;Efecto_Zeigarnik;CFN_29;0:34:35;;True
FN_034;Fortnite;F2P;Near_Miss;En partida, vemos como nos dan mucha experiencia y como progresa nuestra barra de nivel del pase de batalla;En_partida;1;Violeta;Pequeno;Efecto_Zeigarnik;CFN_30;0:34:41;;True
FN_035;Fortnite;F2P;Near_Miss;En partida, vemos como nos dan mucha experiencia y como progresa nuestra barra de nivel del pase de batalla;En_partida;1;Violeta;Pequeno;Efecto_Zeigarnik;CFN_31;0:36:27;;True
FN_036;Fortnite;F2P;Preselection;En partida, al finalizar esta, se nos muestra en grande el nivel del pase de batalla y todas las recompensas que hemos obtenido y, hay por obtener. Destaca por encima de todo, un boton muy grande en amarillo que pone Jugar de nuevo;En_partida;1;Amarillo;Grande;Sesgo_Status_Quo;CFN_32;0:37:00;;True
OV_001;Overwatch;F2P;Reward_Manipulation;Nada mas iniciar el juego sale un mensaje de un evento que se ha completado y, nos han dado recompensas por ello.;Menu_Principal;1;Azul;Grande;Refuerzo_Intermitente;COV_01;0:00:11;;True
OV_002;Overwatch;F2P;Nagging;En la Landing Page del Menu principal, salen los eventos del juego ademas de articulos destacados de la tienda.;Menu_Principal;1;Vario;Grande;Sobrecarga_Cognitiva;COV_02;0:00:20;;False
OV_003;Overwatch;F2P;False_Urgency;En la pestana eventos, nos sale el evento actual del juego que dura un total de 14 dias y es una colaboracion con Nier Automata.;Menu_Principal;1;Gris;Grande;FOMO;COV_03;0:00:27;;False
OV_004;Overwatch;F2P;Sunk_Cost;En el apartado de Pase de Batalla del Menu Principal sale el progeso y los objetos del Pase de Batalla que hemos obtenido hasta el momento. Al subir de nivel hace un sonido.;Menu_Principal;1;Vario;Grande;Falacia_Coste_Hundido;COV_04;0:00:57;;True
OV_005;Overwatch;F2P;False_Urgency;En el apartado de la tienda. Aparecen destacados las skins nuevas con cuentas atras sobre la disponibilidad;Menu_Principal;1;Vario;Grande;Escasez;COV_05;0:01:02;;False
OV_006;Overwatch;F2P;Playing_by_Appointment;En el apartado historia del menu principal aparecen dos misiones nuevas que podemos completar, rotando cada cierto tiempo;Menu_Principal;1;Vario;Grande;Formacion_Habitos;COV_06;0:01:17;;False
OV_007;Overwatch;F2P;Nagging;En el apartado tienda del menu principal aparece la seccion de Esports. Una tienda motivada por el universo transmedia de este videojuego;Menu_Principal;1;Vario;Grande;Sobrecarga_Cognitiva;COV_07;0:01:43;;False
OV_008;Overwatch;F2P;Playing_by_Appointment;En el apartado historia vemos un modo de juego con relatos, un prologo y el primer capitulo, anadiendo capitulos de forma periodica;Menu_Principal;1;Vario;Grande;Formacion_Habitos;COV_08;0:01:50;;False
OV_009;Overwatch;F2P;Currency_Confusion;En el apartado heroes, nos sale la lista de todos los heroes con sus skins y elementos cosmeticos con su correspondiente precio en la moneda del juego;Menu_Principal;1;Vario;Grande;Disociacion_Financiera;COV_09;0:01:54;;False
OV_010;Overwatch;F2P;Near_Miss;En el apartado de cajas de recompensa, nos pone los distintos tipos de caja de botin qye hay y, que cada x cajas abiertas tenemos una especial asegurada, por ejemplo, una caja legendaria por cada 20 cajas normales abiertas y, nos dicen el progreso que llevamos en texto grande;Menu_Principal;1;Vario;Grande;Efecto_Zeigarnik;COV_10;0:02:19;;False
OV_011;Overwatch;F2P;False_Urgency;En el apartado de desafios, vemos la seccion de desafios diarios que cambian cada 24 horas (en la UI se marca una cuenta atras con el tiempo restante) y, nos dan recompensas de experiencia del pase de batalla y, muchas barras de progreso, una por cada tarea que son 7 de manera simplificada;Menu_Principal;1;Azul;Grande;FOMO;COV_11;0:02:21;;False
OV_012;Overwatch;F2P;Playing_by_Appointment;En el apartado de desafios, vemos la secciones de desafios semanales que cambian cada 7 di�as (en la UI se marca una cuenta atras con el tiempo restante) y, nos dan recompensas de experiencia del pase de batalla y, muchas barras de progreso, una por cada tarea que son 7 de manera simplificada. Nos dan mucha experiencia semanal si conseguimos encadenar una racha de completar misiones semanales de manera regular (es decir, completamos todas las misiones de la semana 1, de la semana 2, la 3, todo de forma seguido en forma de racha).;Menu_Principal;1;Azul;Grande;Aversion_a_la_Perdida;COV_12;0:02:35;;False
OV_013;Overwatch;F2P;Time_Obstruction;En el apartado de desafios, vemos la seccion de desafios de evento que cambian cada x di�as  (en la UI se marca una cuenta atras con el tiempo restante) y, nos dan recompensas de experiencia del pase de batalla y, a diferencia de los dos apartados anteriores, nos dan objetos cosmeticos exclusivos de temporada. Cada mision requiere jugar 10 partidas, son 7 misiones, haciendo un total 70 partidas haciendo que el usuario haga un grindeo obsesivo antes de que se acabe el tiempo del evento;Menu_Principal;1;Azul;Grande;Falacia_Coste_Hundido;COV_13;0:02:40;;False
OV_014;Overwatch;F2P;Forced_Action;En el apartado de desafios, vemos la seccion de desafios de competicion que no tienen una cuenta atras pero solo pueden conseguirse jugando partidas competitivas;Menu_Principal;1;Azul;Grande;Sesgo_Status_Quo;COV_14;0:02:46;;False
OV_015;Overwatch;F2P;Reward_Manipulation;En el apartado de cola de funcion, el juego nos da puntos de experiencia del pase de batalla por jugar en aquellos roles que estan menos solicitados y, son necesarios para que haya partidas;Menu_Principal;1;Azul;Grande;Refuerzo_Intermitente;COV_15;0:02:53;;False
OV_016;Overwatch;F2P;Social_Proof;Mientras esperamos a que el juego nos deje entrar en partida, vemos a nuestro personaje con la skin que le hayamos equipado;Menu_Principal;1;No;Medio;Efecto_Arrastre_(Bandwagon);COV_16;0:03:06;;True
OV_017;Overwatch;F2P;Social_Proof;En la pre-partida, antes de empezar el combate, tenemos un tiempo para seleccionar nuestro personaje y cambiarle la skin rapidamente si queremos;En_partida;1;Vario;Pequeno;Efecto_Arrastre_(Bandwagon);COV_17;0:04:02;;False
OV_018;Overwatch;F2P;Social_Proof;En la pre-partida, antes de empezar el combate y una vez seleccionado el personaje, tenemos un tiempo para posicionarnos en el mapa y, los jugadores aprovechan para usar emotes (obtenidos en cajas de botin o pagando, generalmente);En_partida;1;No;Grande;Efecto_Arrastre_(Bandwagon);COV_18;0:04:10;;False
OV_019;Overwatch;F2P;Social_Proof;En la post-partida, salen todos los personajes del equipo vencedor ensenando las skins y poses de victoria (ambas obtenidas en caja de botin o, pagando). Tambien sale la jugada destacada del personaje con mas bajas en totalcon una animacion de jugada destacada (lo mismo);En_partida;1;No;Grande;Efecto_Arrastre_(Bandwagon);COV_19;0:13:09;;False
OV_020;Overwatch;F2P;Reward_Manipulation;En la post-partida, podemos elogiar a jugadores que pensamos que han jugado bien y, nos dan experiencia del pase de batalla por ello;En_partida;1;Vario;Medio;Refuerzo_Intermitente;COV_20;0:13:12;;True
OV_021;Overwatch;F2P;Near_Miss;Al acabar la partida, nos muestran nuestras estadi�sticas de la partida y una barra bien grande en naranja con el progreso de nivel del personaje con el que hemos jugado (ojo, es distinto a la experiencia del pase de batalla);Menu_Principal;1;Vario;Grande;Efecto_Zeigarnik;COV_21;0:13:15;;True
OV_022;Overwatch;F2P;Preselection;Al acabar la partida, por defecto tenemos el volver a unirnos a la cola (volver a jugar) con un autoplay que tiene una cuenta atras de 7 segundos. No podemos cancelar directamente desde la primera pantalla.;Menu_Principal;1;Gris claro;Pequeno;Sesgo_Status_Quo;COV_22;0:13:34;2;True
OV_023;Overwatch;F2P;Time_Obstruction;Como no cancele el autoplay, me meto en otra partida, entre el fin de una y el comienzo de la otra pasaron menos de 15 segundos;Menu_Principal;1;No;No;Disociacion_Temporal;COV_23;0:14:00;;True
OV_024;Overwatch;F2P;Social_Proof;En la pre-partida, antes de empezar el combate, tenemos un tiempo para seleccionar nuestro personaje y cambiarle la skin rapidamente si queremos;En_partida;1;Vario;Pequeno;Efecto_Arrastre_(Bandwagon);COV_24;0:14:05;;False
OV_025;Overwatch;F2P;Social_Proof;En la pre-partida, antes de empezar el combate y una vez seleccionado el personaje, tenemos un tiempo para posicionarnos en el mapa y, los jugadores aprovechan para usar emotes (obtenidos en cajas de botin o pagando, generalmente);En_partida;1;No;Grande;Efecto_Arrastre_(Bandwagon);COV_25;0:14:10;;False
OV_026;Overwatch;F2P;Social_Proof;En la post-partida, salen todos los personajes del equipo vencedor ensenando las skins y poses de victoria (ambas obtenidas en caja de boton o, pagando). Tambien sale la jugada destacada del personaje con mas bajas en totalcon una animacion de jugada destacada (lo mismo);En_partida;1;No;Grande;Efecto_Arrastre_(Bandwagon);COV_26;0:17:12;;False
OV_027;Overwatch;F2P;Reward_Manipulation;En la post-partida, podemos elogiar a jugadores que pensamos que han jugado bien y, nos dan experiencia del pase de batalla por ello;En_partida;1;Vario;Medio;Refuerzo_Intermitente;COV_27;0:17:15;;True
OV_028;Overwatch;F2P;Near_Miss;Al acabar la partida, nos muestran nuestras estadi�sticas de la partida y una barra bien grande en naranja con el progreso de nivel del personaje con el que hemos jugado (ojo, es distinto a la experiencia del pase de batalla);Menu_Principal;1;Vario;Grande;Efecto_Zeigarnik;COV_28;0:17:39;;True
OV_029;Overwatch;F2P;Sunk_Cost;Al acabar la partida, como esta vez le hemos dado a continuar, nos salen los puntos de experiencia que hemos ganado en el pases de batalla y todas las recompensas que hemos ganado y vamos a ganar con una barra de progreso grande;Menu_Principal;1;Azul;Grande;Falacia_Coste_Hundido;COV_29;0:17:43;;True
OV_030;Overwatch;F2P;Social_Proof;En la pre-partida, antes de empezar el combate, tenemos un tiempo para seleccionar nuestro personaje y cambiarle la skin rapidamente si queremos;En_partida;1;Vario;Pequeno;Efecto_Arrastre_(Bandwagon);COV_30;0:19:35;;False
OV_031;Overwatch;F2P;Social_Proof;En la pre-partida, antes de empezar el combate y una vez seleccionado el personaje, tenemos un tiempo para posicionarnos en el mapa y, los jugadores aprovechan para usar emotes (obtenidos en cajas de botin o pagando, generalmente);En_partida;1;No;Grande;Efecto_Arrastre_(Bandwagon);COV_31;0:20:00;;False
OV_032;Overwatch;F2P;Social_Proof;En la post-partida, salen todos los personajes del equipo vencedor ensenando las skins y poses de victoria (ambas obtenidas en caja de boti�n o, pagando). Tambien sale la jugada destacada del personaje con mas bajas en totalcon una animacion de jugada destacada (lo mismo);En_partida;1;No;Grande;Efecto_Arrastre_(Bandwagon);COV_32;0:28:18;;False
OV_033;Overwatch;F2P;Reward_Manipulation;En la post-partida, podemos elogiar a jugadores que pensamos que han jugado bien y, nos dan experiencia del pase de batalla por ello;En_partida;1;Vario;Medio;Refuerzo_Intermitente;COV_33;0:28:21;;True
OV_034;Overwatch;F2P;Near_Miss;Al acabar la partida, nos muestran nuestras estadisticas de la partida y una barra bien grande en naranja con el progreso de nivel del personaje con el que hemos jugado (ojo, es distinto a la experiencia del pase de batalla);Menu_Principal;1;Vario;Grande;Efecto_Zeigarnik;COV_34;0:28:41;;True
OV_035;Overwatch;F2P;Sunk_Cost;Al acabar la partida, como esta vez le hemos dado a continuar, nos salen los puntos de experiencia que hemos ganado en el pases de batalla y todas las recompensas que hemos ganado y vamos a ganar con una barra de progreso grande;Menu_Principal;1;Azul;Grande;Falacia_Coste_Hundido;COV_35;0:28:45;;True
OV_036;Overwatch;F2P;Preselection;Al acabar la partida, por defecto tenemos el volver a unirnos a la cola (volver a jugar) con un autoplay que tiene una cuenta atras de 7 segundos. No podemos cancelar directamente desde la primera pantalla.;Menu_Principal;1;Gris claro;Pequeno;Sesgo_Status_Quo;COV_36;0:28:43;2;True
WOW_001;Wow;Suscripcion;Hard_Paywall;Si no estamos suscritos, vemos un mensaje que insta a que nos suscribamos al juego;Menu_Principal;1;Vario;Medio;Aversion_a_la_Perdida;CWOW_01;0:00:24;;False
WOW_002;Wow;Suscripcion;Sin_Patron_(Transparencia);Primer click en la tienda, realmente no esta tan a la vista como en otros juegos como Fortnite, si no hubiera clicado, no lo habri�a encontrado. Tiene varias secciones, desde elementos puramente costmeticos hasta subidas de nivel y otras ventajas en el juego para quienes no quieren esperar. LOS ARTICULOS SALEN EN EUROS, NO HAY OFUSCACION DE DIVISAS;Menu_Principal;1;N/A;N/A;N/A;CWOW_02;0:00:24;;False
WOW_003;Wow;Suscripcion;Pay_to_Skip;AquI esta la parte de la tienda que mas me llama la atencion. En el apartado servicios se ofrecen fichas, subidas de nivel, pagas con dinero si no tienes la paciencia para grindear horas y horas;Menu_Principal;1;Vario;Medio;Aversion_a_la_Perdida;CWOW_03;0:00:24;;False
WOW_004;Wow;Suscripcion;Reward_Manipulation;Empezamos la primera mison;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_04;0:04:59;;True
WOW_005;Wow;Suscripcion;Reward_Manipulation;Cada vez que cumplimos un objetivo de la mision, nos sale un aviso en pantalla, pequeno, amarillo y en el centro de la pantalla. Cada vez que matamos a uno de los 6 objetivos, nos da experiencia y un material, ademas de oro (dinero);En_partida;6;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_05;0:05:27;;True
WOW_006;Wow;Suscripcion;Reward_Manipulation;Cumplimos el objetivo de la mision, se actualiza nuestro mapa y, la ubiucacion para entregar la mision;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_06;0:06:48;;False
WOW_007;Wow;Suscripcion;Reward_Manipulation;Completamos la primera mision y, al entregarla, no dan experiencia, subimos de nivel, sale un destello indicando que hemos subido de nivel y, suena un sonido;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_07;0:07:06;;True
WOW_008;Wow;Suscripcion;Reward_Manipulation;Empezamos la segunda mision, consiste en matar a 8 objetivos distitntos a los de la primera. Cada vez que acabamos con un enemigo, vemos como la barra de experiencia va aumentando;En_partida;8;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_08;0:07:14;;True
WOW_009;Wow;Suscripcion;Reward_Manipulation;Entregamos la segunda mision, subimos al nivel tres, sale el destello y suena la musica, ademas de recibir recompensas;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_09;0:11:12;;True
WOW_010;Wow;Suscripcion;Grinding_(Time_Sink);Empezamos la tercera mision que consiste en matar a 8 goblins. Realmente, se hace bastante repetitivo pero, las recompensas lo hacen entretenido;En_partida;1;Amarillo;Pequeno;Falacia_Coste_Hundido;CWOW_10;0:11:47;;True
WOW_011;Wow;Suscripcion;Infinite_Progression;Por el camino, encontramos otra mision y aceptamos otra mision que consiste en curar a soldados heridos;En_partida;4;Amarillo;Pequeno;Efecto_Zeigarnik;CWOW_11;0:11:53;;False
WOW_012;Wow;Suscripcion;Reward_Manipulation;Entregamos la mision secundaria de curar a los soldados y suena el sonido de mision completada;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_12;0:13:45;;True
WOW_013;Wow;Suscripcion;Reward_Manipulation;Subimos de nivel y sale un aviso amarillo en medio de la pantalla;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_13;0:14:08;;True
WOW_014;Wow;Suscripcion;Reward_Manipulation;Entregamos la tercera mision principal, recibimos recompensas y suena el sonido de mision completada;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_14;0:15:20;;True
WOW_015;Wow;Suscripcion;Reward_Manipulation;Comenzamos la cuarta mision principal;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_15;0:15:46;;False
WOW_016;Wow;Suscripcion;Reward_Manipulation;Aceptanos dos misiones mas que consisten en matar a 8 objetivos y, apagar 8 fuegos;En_partida;16;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_16;0:16:20;;True
WOW_017;Wow;Suscripcion;Reward_Manipulation;Muero y aparezco en un cementerio;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_17;0:19:15;;False
WOW_018;Wow;Suscripcion;Reward_Manipulation;Entrego las dos misiones, me dan recompensas y subo de nivel. Cabe destacar aqui� que en 15 minutos de juego ya estoy en el nivel 5, empece en el 1;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_18;0:22:50;;True
WOW_019;Wow;Suscripcion;Reward_Manipulation;Acepto la quinta mision principal que consiste en matar a un boss;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_19;0:22:54;;True
WOW_020;Wow;Suscripcion;Reward_Manipulation;Entregi la quinta mision, me dejan elegir una recompensa. Suena la musica de mision completada y me dan experiencia;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_20;0:25:43;;True
WOW_021;Wow;Suscripcion;Reward_Manipulation;Acepto la sexta msion principal, que es llevar un documento del punto A al punto B;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_21;0:25:45;;True
WOW_022;Wow;Suscripcion;Reward_Manipulation;Entrego las sexta msion principal, suena el sonido de msion completada;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_22;0:26:25;;True
WOW_023;Wow;Suscripcion;Infinite_Progression;Acepto la septima mision principal y, dos misiones secundarias;En_partida;1;Amarillo;Pequeno;Efecto_Zeigarnik;CWOW_23;0:26:29;;True
WOW_024;Wow;Suscripcion;Infinite_Progression;Acepto otras dos misiones secundarias mas. En total tengo una principal y 4 secundarias;En_partida;1;Amarillo;Pequeno;Efecto_Zeigarnik;CWOW_24;0:26:45;;True
WOW_025;Wow;Suscripcion;Reward_Manipulation;Entrego una mision secundaria, suena la musica, obtengo recompensas y obtengo algo de experiencia;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_25;0:27:01;;True
WOW_026;Wow;Suscripcion;Reward_Manipulation;Entrego una mision secundaria, lo de siempre. Todas estas msiiones son como fotocopias de la anterior pero, el ver la barra de experiencia progresar y obtener mejor equipo lo hace de cierta forma adictivo;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_26;0:29:10;;True
WOW_027;Wow;Suscripcion;Reward_Manipulation;Descubro lugares nuevos, al hacerlo sale un aviso sobre esto y, obtengo oro y experiencia;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_27;0:30:26;;True
WOW_028;Wow;Suscripcion;Near_Miss;Acepto una mision scundaria;En_partida;1;Amarillo;Pequeno;Efecto_Zeigarnik;CWOW_28;0:31:09;;True
WOW_029;Wow;Suscripcion;Reward_Manipulation;Completo el objetivo de una mision secundaria;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_29;0:32:51;;False
WOW_030;Wow;Suscripcion;Time_Obstruction;Grindeamos objetivos de una mision secundario, obtengo 10 items de polvo de oro;En_partida;10;Amarillo;Pequeno;Falacia_Coste_Hundido;CWOW_30;0:44:21;;False
WOW_031;Wow;Suscripcion;Reward_Manipulation;Entrego una mision secundaria;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_31;0:47:00;;True
WOW_032;Wow;Suscripcion;Reward_Manipulation;Entrego una mision secundaria;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_32;0:47:25;;True
WOW_033;Wow;Suscripcion;Near_Miss;Acepto dos misiones nuevas;En_partida;2;Amarillo;Pequeno;Efecto_Zeigarnik;CWOW_33;0:47:39;;True
WOW_034;Wow;Suscripcion;Playing_by_Appointment;Abro el apartado de calendario y veo todos los eventos programados dentro del juego para el mes de marzo, son bastantes;Menu_Principal;1;Vario;Grande;Formacion_Habitos;CWOW_34;0:48:51;;False
WOW_035;Wow;Suscripcion;Time_Obstruction;Como curiosidad, puedes ponerte alarmas dentro del juego. Esto es bastante evidente de lo absorvente que es el juego y, que te hace perder la noci�n del tiempo;Menu_Principal;1;Amarillo;Pequeno;Disociacion_Temporal;CWOW_35;0:49:10;;False
WOW_036;Wow;Suscripcion;Reward_Manipulation;Descubro lugares nuevos, al hacerlo sale un aviso sobre esto y, obtengo oro y experiencia;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_36;0:50:17;;True
WOW_037;Wow;Suscripcion;Near_Miss;Acepto una mision scundaria;En_partida;1;Amarillo;Pequeno;Efecto_Zeigarnik;CWOW_37;0:50:31;;True
WOW_038;Wow;Suscripcion;Reward_Manipulation;Entregamos una mision y aceptamos otra;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_38;0:51:22;;True
WOW_039;Wow;Suscripcion;Reward_Manipulation;Entregamos una mision y aceptamos otras dos;En_partida;1;Amarillo;Pequeno;Refuerzo_Intermitente;CWOW_39;0:53:30;;True
WOW_040;Wow;Suscripcion;Near_Miss;Acepto una mision scundaria;En_partida;1;Amarillo;Pequeno;Efecto_Zeigarnik;CWOW_40;0:57:32;;True
